family	allmb_name	gbif_species_key	num_occurrences	crop_state	myco_state	woody_state
Asteraceae	Glebionis_segetum	3141101	26860		arbuscular	
Asteraceae	Chondrilla_juncea	8537667	27467		arbuscular	
Asteraceae	Tanacetum_corymbosum_subsp._corymbosum	3118216	31204		arbuscular	
Asteraceae	Saussurea_alpina	5404542	31949		arbuscular	
Asteraceae	Cota_tinctoria_subsp._subtinctoria	5390618	32602		arbuscular	
Asteraceae	Bidens_pilosa	5391845	35758			non-woody
Asteraceae	Helianthus_annuus	9206251	44229			non-woody
Asteraceae	Serratula_tinctoria_subsp._tinctoria	5388835	44927		arbuscular	non-woody
Asteraceae	Helichrysum_stoechas	7518700	45018		arbuscular	ancestral
Asteraceae	Carduus_nutans	8185959	50669		arbuscular	
Asteraceae	Inula_conyza	8241874	55228			non-woody
Asteraceae	Erigeron_acris	3147080	56271			non-woody
Asteraceae	Anthemis_arvensis	3102781	56715		arbuscular	
Asteraceae	Tripolium_pannonicum	3098616	60945		arbuscular	
Asteraceae	Galinsoga_quadriradiata	8298495	61010			non-woody
Asteraceae	Scorzonera_humilis	3111049	63522		arbuscular	
Asteraceae	Senecio_viscosus	3107855	67526		arbuscular	
Asteraceae	Petasites_hybridus	3088301	69849		neither	
Asteraceae	Senecio_inaequidens	3109086	79037			ancestral
Asteraceae	Carlina_vulgaris	3105380	90144		arbuscular	non-woody
Asteraceae	Pulicaria_dysenterica	3095609	104696		arbuscular	
Asteraceae	Bidens_tripartita	5391862	107296			non-woody
Asteraceae	Hieracium_umbellatum	3135329	110444		arbuscular	
Asteraceae	Arctium_minus	5393103	116310		arbuscular	
Asteraceae	Matricaria_chamomilla_var._recutita	8370958	140319		neither	
Asteraceae	Gnaphalium_uliginosum	5390848	142673		arbuscular	non-woody
Asteraceae	Tragopogon_pratensis	5386897	144038		arbuscular	
Asteraceae	Lactuca_serriola	3140490	146759		arbuscular	
Asteraceae	Tripleurospermum_maritimum_subsp._inodorum	3104179	150089		arbuscular	
Asteraceae	Conyza_canadensis	3146791	196827		neither	
Asteraceae	Matricaria_matricarioides	3103791	200315		arbuscular	
Asteraceae	Jacobaea_vulgaris	5388602	209112			non-woody
Asteraceae	Tanacetum_vulgare	3118274	212785			non-woody
Asteraceae	Solidago_virgaurea	6446462	237003		arbuscular	
Asteraceae	Sonchus_oleraceus	8228544	239932		arbuscular	
Asteraceae	Eupatorium_cannabinum	5402943	248717		arbuscular	non-woody
Asteraceae	Scorzoneroides_autumnalis	3133512	255950		arbuscular	
Asteraceae	Sonchus_asper	3105782	258525			non-woody
Asteraceae	Senecio_vulgaris	3108983	268442			non-woody
Asteraceae	Lapsana_communis	3134857	268608		arbuscular	
Asteraceae	Centaurea_jacea	3128547	301293		arbuscular	
Asteraceae	Pilosella_officinarum	7874303	332942		arbuscular	
Asteraceae	Bellis_perennis	3117424	368165			non-woody
Asteraceae	Cirsium_arvense	3113414	573171		arbuscular	non-woody
Asteropeiaceae	Asteropeia_micraster	5835984	157		both	
Balsaminaceae	Impatiens_firmula	4193612	300			derived
Balsaminaceae	Impatiens_walleriana	2891772	2191		arbuscular	non-woody
Balsaminaceae	Impatiens_capensis	2891774	15988		arbuscular	
Balsaminaceae	Impatiens_noli-tangere	2891779	73965		neither	
Balsaminaceae	Impatiens_glandulifera	2891770	148655			non-woody
Bataceae	Batis_maritima	5414196	2208		neither	
Begoniaceae	Begonia_dichotoma	4157610	186			derived
Begoniaceae	Begonia_isoptera	8009293	258			non-woody
Begoniaceae	Begonia_meyeri-johannis	4930932	357			derived
Begoniaceae	Begonia_oxyloba	4156666	623			non-woody
Begoniaceae	Begonia_reniformis	2874716	744			derived
Begoniaceae	Begonia_fruticosa	7303416	982			derived
Begoniaceae	Begonia_glabra	7303342	2189			non-woody
Bixaceae	Bixa_orellana	2874863	5810		arbuscular	
Boraginaceae	Echium_aculeatum	4064880	624			derived
Boraginaceae	Glandora_prostrata	7294611	3245			derived
Boraginaceae	Neatostema_apulum	4061000	5546			non-woody
Boraginaceae	Lithodora_fruticosa	5661164	9962			derived
Boraginaceae	Lithospermum_officinale	2926086	23973			non-woody
Boraginaceae	Echium_vulgare	2925892	131458			non-woody
Brassicaceae	Pachycladon_cheesemanii	5552489	101			derived
Brassicaceae	Bornmuellera_tymphaea	3047125	105			derived
Brassicaceae	Thlaspi_montanum	9170718	109		arbuscular	
Brassicaceae	Cremolobus_peruvianus	3041482	120			derived
Brassicaceae	Draba_hallii	3049894	124			derived
Brassicaceae	Alyssoides_cretica	3050537	136			derived
Brassicaceae	Boechera_koehleri	3043299	142			derived
Brassicaceae	Alyssum_dasycarpum	3045148	148			non-woody
Brassicaceae	Mostacillastrum_orbignyanum	3041246	148			derived
Brassicaceae	Erysimum_perofskianum	3048131	152			non-woody
Brassicaceae	Boechera_pulchra_var._pallens	3043531	157			derived
Brassicaceae	Matthiola_parviflora	3053061	207			non-woody
Brassicaceae	Brassica_balearica	3042911	244			derived
Brassicaceae	Erysimum_senoneri	3048489	286			derived
Brassicaceae	Crambe_strigosa	5373547	318			derived
Brassicaceae	Stevenia_maximowiczii	3052553	327			non-woody
Brassicaceae	Descurainia_millefolia	3044107	354			derived
Brassicaceae	Stenopetalum_decipiens	3042367	376			derived
Brassicaceae	Alyssum_lenense	3045096	378			derived
Brassicaceae	Lyrocarpa_coulteri	3040711	386			derived
Brassicaceae	Erysimum_crassipes	3048616	435			derived
Brassicaceae	Brassica_insularis	3042880	511			derived
Brassicaceae	Thelypodium_integrifolium	3053589	563			non-woody
Brassicaceae	Anastatica_hierochuntica	3041976	583			non-woody
Brassicaceae	Lepidium_bidentatum	5377075	585		arbuscular	
Brassicaceae	Erysimum_scoparium	3048534	633			derived
Brassicaceae	Stenopetalum_nutans	3042358	722			non-woody
Brassicaceae	Lepidium_foliosum	5376605	729			derived
Brassicaceae	Lepidium_alyssoides	5377012	775			derived
Brassicaceae	Boechera_lemmonii	3043593	920			non-woody
Brassicaceae	Physaria_ludoviciana	3048930	926			non-woody
Brassicaceae	Dithyrea_californica	3053543	1004			non-woody
Brassicaceae	Streptanthella_longirostris	3041931	1071			non-woody
Brassicaceae	Euclidium_syriacum	3049314	1084			non-woody
Brassicaceae	Zilla_spinosa_subsp._spinosa	5376128	1100			derived
Brassicaceae	Boechera_perennans	3043206	1133			non-woody
Brassicaceae	Farsetia_stylosa	3047985	1136			derived
Brassicaceae	Lobularia_canariensis_subsp._canariensis	5373341	1152			non-woody
Brassicaceae	Arabidella_trisecta	3040450	1208			derived
Brassicaceae	Vella_spinosa	5375666	1365			derived
Brassicaceae	Streptanthus_tortuosus	3041559	1423			non-woody
Brassicaceae	Erysimum_crepidifolium	3048522	1446			non-woody
Brassicaceae	Harmsiodoxa_blennodioides	3041953	1534			non-woody
Brassicaceae	Physaria_fendleri	3049236	1534			derived
Brassicaceae	Fibigia_clypeata	3051652	1638			non-woody
Brassicaceae	Alyssum_desertorum	3044743	2175			non-woody
Brassicaceae	Stanleya_pinnata	5373733	2224			derived
Brassicaceae	Matthiola_longipetala	5377395	2408			non-woody
Brassicaceae	Cochlearia_groenlandica	5373235	2696		neither	
Brassicaceae	Chorispora_tenella	3044349	2813			non-woody
Brassicaceae	Boechera_stricta	3043392	3200			non-woody
Brassicaceae	Iberis_sempervirens	5551241	3275			derived
Brassicaceae	Thysanocarpus_curvipes	3051417	3376			non-woody
Brassicaceae	Matthiola_incana	5377378	3452			derived
Brassicaceae	Lepidium_phlebopetalum	5376550	3483			derived
Brassicaceae	Alyssum_serpyllifolium	3044979	3652			derived
Brassicaceae	Hormathophylla_spinosa	3050712	3702			derived
Brassicaceae	Aurinia_saxatilis	5377778	3892			derived
Brassicaceae	Iberis_saxatilis	5377289	3983			derived
Brassicaceae	Aethionema_saxatile	3051094	4026			derived
Brassicaceae	Moricandia_arvensis	5376035	5023			derived
Brassicaceae	Descurainia_pinnata	3044133	6115			non-woody
Brassicaceae	Matthiola_fruticulosa	5377429	7123			derived
Brassicaceae	Iberis_amara	5377163	8657			non-woody
Brassicaceae	Alyssum_montanum	3044912	8830			derived
Brassicaceae	Erucastrum_nasturtiifolium	5375555	10979			non-woody
Brassicaceae	Kernera_saxatilis_subsp._boissieri	5374828	12429			non-woody
